MatchID;Champ Name;win;effectiveHealAndShielding;largestKillingSpree;largestMultiKill;timeCCingOthers;totalDamageDealtToChampions;physicalDamageDealtToChampions;magicDamageDealtToChampions;trueDamageDealtToChampions;totalDamageDealt;physicalDamageDealt;magicDamageDealt;trueDamageDealt;damageDealtToTurrets;damageDealtToObjectives;totalHeal;totalDamageTaken;physicalDamageTaken;magicDamageTaken;trueDamageTaken;damageSelfMitigated;goldSpent;totalMinionsKilled;neutralMinionsKilled;visionScore;wardsPlaced;wardsKilled;visionWardsBoughtInGame;turretKills;inhibitorKills
KR_7400110781;Yone;0;0;5;1;27;39241;28360;7047;3833;236800;199338;29249;8212;7566;12313;17261;40561;13432;23579;3549;38801;14900;225;24;23;13;1;2;3;0
KR_7400110781;Jhin;0;0;6;2;35;37827;35595;2044;187;184798;179592;4688;517;3691;5988;2427;25271;11671;11647;1951;11613;15100;211;0;12;10;2;0;0;0
KR_7400110781;Rakan;0;6655.48779296875;0;1;54;7347;1431;5850;66;16556;4785;8817;2953;1396;1396;12058;29444;14176;12615;2651;24438;7075;28;0;66;29;6;5;1;0
KR_7400110781;Yasuo;1;0;3;2;17;27118;7300;18141;1675;186554;46934;136376;3243;8860;9271;2113;31256;24146;5822;1287;30624;13740;203;1;14;8;0;0;4;0
KR_7400110781;MasterYi;1;0;3;2;9;29863;20954;1705;7203;293976;193810;11205;88960;1506;45238;20142;38718;31103;6973;641;30603;13275;33;174;42;6;2;4;0;0
KR_7400110781;Sylas;1;222.89993286132812;5;3;52;49218;1040;44985;3191;162036;8185;146890;6960;10753;11154;16147;49949;35798;11861;2289;38331;15645;180;4;25;7;3;3;4;0
KR_7400110781;Nilah;1;875.5476684570312;0;1;17;19263;17622;0;1640;133752;130497;0;3254;5394;5394;6913;34475;25733;7971;771;24683;10308;195;0;18;6;2;3;2;1
KR_7400110781;Thresh;1;3086.159423828125;2;2;52;12719;2374;9406;939;36698;9220;24339;3138;794;1794;3802;25475;19669;5701;104;34073;9360;53;0;83;28;13;8;0;0
KR_7396627677;Maokai;1;0;4;1;51;17096;2646;14186;263;100213;23247;71690;5276;5308;5308;12728;31172;24591;6066;515;39369;7800;155;0;4;1;2;0;2;0
KR_7396627677;Nocturne;1;0;2;1;141;17418;15454;698;1265;192701;129219;1817;61663;7214;36614;15203;28055;20766;6836;451;18960;9750;19;127;20;5;1;4;1;0
KR_7396627677;Hwei;1;1201.558837890625;9;3;30;27598;2745;24537;315;108386;9670;96334;2381;4238;5955;2480;15318;7262;7938;116;8091;11400;165;0;16;7;1;6;0;1
KR_7396627677;Varus;1;0;0;1;20;23594;18094;5124;375;94107;83192;8377;2536;7929;11443;490;16749;11591;4951;206;7114;7950;129;0;18;9;0;2;3;1
KR_7396627677;Senna;1;5587.1630859375;5;2;32;21901;20372;725;804;36965;33659;725;2580;3324;4293;11463;17128;10191;6590;346;6486;9400;14;0;35;16;2;1;3;0
KR_7396627677;KSante;0;223.60623168945312;2;1;31;12759;10658;1407;693;92526;88580;1407;2538;696;959;1624;27754;15266;11619;869;29703;7175;176;0;7;5;0;1;0;0
KR_7396627677;Skarner;0;0;4;2;36;18184;11215;6232;736;150054;68927;29851;51275;8;6465;13226;37721;22678;14301;741;43871;8025;13;113;13;4;1;1;0;0
KR_7396627677;Syndra;0;0;0;1;20;13524;1051;12328;145;85807;10203;74730;872;1870;1870;33;19168;9347;9447;372;8182;6160;123;0;8;6;0;0;0;0
KR_7396627677;Xayah;0;0;2;2;13;18751;18690;0;61;89815;89754;0;61;4300;4300;646;21748;16190;5103;454;9319;8325;157;0;11;6;0;2;2;0
KR_7396627677;Karma;0;4873.5107421875;2;1;32;12057;1289;10768;0;39998;4353;31675;3968;204;302;5075;24529;16139;7805;585;15063;6125;40;0;24;10;4;3;0;0
KR_7396392865;Gragas;0;0;2;1;44;15088;1380;13618;90;124009;14089;104017;5903;2993;3052;10198;31389;14981;13204;3203;21414;9825;186;0;15;6;2;3;1;0
KR_7396392865;Lillia;0;0;4;1;27;26903;1225;21592;4086;268591;23376;129414;115801;0;7776;27194;42454;24443;16375;1636;18726;10700;25;171;24;5;2;4;0;0
KR_7396392865;Tristana;0;0;0;1;6;13052;10797;2176;78;105480;89766;15460;254;1384;2327;3912;26726;11759;13603;1362;10230;8675;176;0;18;9;3;1;0;0
KR_7396392865;Smolder;0;0;2;1;7;18710;15282;2783;645;133040;120784;9182;3073;414;1666;4589;20823;13333;6841;648;11536;10700;229;0;21;10;6;2;0;0
KR_7396392865;Maokai;0;268.82330322265625;2;1;41;7285;734;5798;752;28042;4083;19687;4271;0;0;2987;23394;16650;4768;1975;18799;6585;33;1;79;30;9;5;0;0
KR_7396392865;Gwen;1;0;5;3;9;28931;4616;19983;4331;229021;38757;124590;65674;12925;25783;8044;26806;11815;13979;1012;18877;12850;226;2;15;5;3;2;6;0
KR_7396392865;LeeSin;1;411.56256103515625;0;1;16;13101;9729;1774;1597;237325;126433;44552;66340;1487;47208;18310;32422;22227;8953;1241;24455;9275;20;162;28;10;3;5;0;1
KR_7396392865;Akali;1;0;5;2;2;27861;1543;25122;1195;139556;11280;125591;2685;6078;6078;2569;23335;13253;8796;1286;12418;12025;195;0;30;10;6;7;1;0
KR_7396392865;Caitlyn;1;0;5;2;25;25509;24498;408;602;157292;154967;654;1670;6707;14242;5833;19534;12237;6654;641;9363;12050;213;1;33;10;6;2;4;1
KR_7396392865;Skarner;1;272.20599365234375;0;1;42;17479;12792;3587;1099;47644;33368;10230;4046;2540;5571;5038;24519;11458;11590;1469;31005;7225;27;2;87;45;4;9;0;0
KR_7396313879;Gnar;1;0;5;2;16;13363;11949;1414;0;68520;63282;2913;2324;3528;3610;1614;10855;6516;4225;114;5940;8133;121;0;11;7;0;2;1;0
KR_7396313879;Kindred;1;1350;3;3;1;6922;5932;904;86;131746;71719;14916;45110;0;16156;10181;14064;11551;2350;162;6890;5483;0;112;14;3;0;1;0;0
KR_7396313879;Zoe;1;192;0;1;13;6397;929;4260;1207;62104;13609;45738;2755;3020;3020;446;3741;3075;240;425;1315;5350;125;0;8;7;0;2;0;0
KR_7396313879;Kalista;1;0;4;4;10;8808;7775;301;731;48949;43868;1911;3169;4951;4951;1064;6727;5659;637;429;4015;7000;133;0;17;5;5;1;2;0
KR_7396313879;Taric;1;3083.18603515625;0;0;21;2961;1271;1580;109;21467;7064;7502;6900;3284;3284;4554;4964;3897;1012;54;2511;4775;28;0;28;14;4;3;1;0
KR_7396313879;Nasus;0;0;0;1;6;5215;2794;2420;0;42116;26152;13559;2405;0;0;2124;10308;8744;1493;70;6515;4400;78;0;7;5;0;0;0;0
KR_7396313879;Diana;0;0;2;2;4;4179;729;3349;100;87392;16142;47298;23951;0;10126;5146;14875;11947;2360;566;10359;5050;21;72;11;3;3;0;0;0
KR_7396313879;Ambessa;0;0;0;0;1;3946;3336;0;609;29978;29368;0;609;0;0;255;8486;3965;3684;836;5073;3925;91;0;4;3;0;1;0;0
KR_7396313879;Draven;0;0;0;1;5;6073;6055;0;18;48095;48077;0;18;0;871;1046;5981;4413;1148;419;2218;5100;120;0;9;5;2;0;0;0
KR_7396313879;Blitzcrank;0;166.04014587402344;0;0;20;3554;1225;1871;458;8674;2802;2443;3427;0;0;195;7959;6269;1448;241;5680;3300;20;0;28;12;5;4;0;0
KR_7395802345;Fiora;1;2356.6103515625;9;2;12;22841;15384;2003;5453;132412;122209;2153;8049;12178;17066;15794;29928;17046;11692;1189;22113;11733;172;6;10;3;2;0;3;1
KR_7395802345;Belveth;1;0;5;2;21;11256;6381;1357;3518;213906;146567;7198;60139;2664;43676;18690;28252;16495;8882;2875;25231;10250;35;155;45;6;14;4;3;0
KR_7395802345;Ryze;1;0;2;1;18;13954;1098;12814;42;103093;5906;96189;998;4992;5912;2636;20616;8610;11158;847;9028;9360;146;3;24;12;1;6;1;0
KR_7395802345;Kaisa;1;0;0;1;0;15914;9612;6302;0;131033;90196;39171;1666;5714;12675;2708;12815;7931;4518;365;7783;8400;185;8;16;11;1;4;0;0
KR_7395802345;Rell;1;0;2;1;44;9500;2269;5945;1286;17438;5279;10112;2045;2354;3196;2103;16467;10307;5708;452;23471;8350;18;0;72;30;8;10;1;1
KR_7395802345;Akali;0;0;0;0;1;16457;1241;13928;1286;93965;10500;82178;1286;0;462;1062;21326;13192;4355;3778;9419;6450;146;0;10;5;1;0;0;0
KR_7395802345;MonkeyKing;0;0;2;2;18;14623;12287;1207;1128;157932;83735;9573;64623;0;17554;10157;31773;18974;8859;3940;23290;8658;22;114;15;2;5;1;0;0
KR_7395802345;Aurora;0;0;3;2;10;24447;1890;20729;1827;104179;11577;87323;5279;623;1575;3460;12512;6081;5899;531;5370;8925;170;0;16;5;5;1;0;0
KR_7395802345;Varus;0;0;2;1;16;20819;17060;3665;93;110401;91096;8560;10743;248;370;3729;12269;6958;4786;524;7223;7800;175;0;13;6;4;0;0;0
KR_7395802345;Pyke;0;195.15403747558594;0;1;20;4575;4277;260;38;15082;10678;1350;3053;0;0;2858;17585;9260;6799;1525;12653;5775;26;0;65;39;7;11;0;0
KR_7395783889;KSante;1;0;3;1;19;7819;7067;751;0;60047;57951;751;1344;2744;2744;2254;11442;10595;846;0;14839;6100;133;0;11;4;1;2;0;0
KR_7395783889;Belveth;1;0;8;1;11;7945;6172;792;980;124109;85666;3504;34937;773;33645;9244;13132;10207;2829;95;6791;5375;6;94;10;2;1;1;1;0
KR_7395783889;Hwei;1;15.884846687316895;2;1;12;8624;798;7825;0;62455;11332;49601;1521;3480;3480;556;6743;2390;4096;256;3155;5975;126;0;9;6;0;1;1;0
KR_7395783889;Ashe;1;0;0;1;17;4840;4363;476;0;47972;39159;676;8137;2524;2524;490;4519;2111;2204;203;2066;4050;110;0;13;6;0;1;0;0
KR_7395783889;Braum;1;601.3646850585938;0;0;9;2588;639;1554;394;7599;1713;3318;2567;0;0;767;7909;3321;4151;436;5133;2975;17;0;34;14;2;3;0;0
KR_7395783889;Ambessa;0;0;0;0;5;9213;8577;636;0;47084;46447;636;0;0;0;972;9271;8335;870;66;10603;3850;103;0;5;3;0;0;0;0
KR_7395783889;XinZhao;0;0;0;1;6;3420;3160;260;0;90663;52025;5378;33259;0;0;10124;17994;12299;5243;452;8242;3850;8;80;16;6;1;2;0;0
KR_7395783889;Aurora;0;0;0;1;2;6506;770;5416;319;55029;6998;46232;1799;1205;1205;430;9071;2862;6089;120;3540;4050;108;0;5;5;0;0;0;0
KR_7395783889;Corki;0;0;0;1;0;6610;3744;2193;671;41708;22508;16090;3109;1004;1004;266;8632;6524;1372;735;3528;4883;117;0;9;4;2;0;0;0
KR_7395783889;Neeko;0;166.33837890625;2;1;10;5770;384;5386;0;17873;3086;12678;2108;310;310;722;3128;2547;581;0;1072;3600;25;0;29;10;6;4;0;0
KR_7395735530;Ambessa;1;0;3;2;10;20264;18850;43;1370;137632;125428;145;12058;9822;12226;3154;21624;17716;3336;570;22819;11615;182;4;21;6;5;3;4;0
KR_7395735530;Taliyah;1;0;4;3;26;16305;568;14701;1036;271995;15493;199569;56933;1489;50795;11592;21900;16629;4886;384;9616;8475;30;164;20;5;1;3;1;0
KR_7395735530;Corki;1;0;3;1;1;16423;10978;3527;1918;114312;60335;44266;9710;4122;6756;4880;20280;9793;9647;840;8629;6018;150;4;23;10;2;3;2;1
KR_7395735530;Lulu;1;6092.31591796875;2;2;43;9567;1324;7878;363;24804;3629;19187;1987;2735;3929;3069;9543;5736;3217;589;3843;7450;19;0;70;33;8;8;2;1
KR_7395735530;MissFortune;1;0;2;2;7;19173;17902;925;346;119785;113592;2181;4011;9045;13961;3764;16560;11164;4721;674;8212;11250;200;4;29;12;6;4;1;0
KR_7395735530;Pantheon;0;0;0;1;16;15020;14580;439;0;98998;95397;3516;84;0;617;3077;24265;17050;5644;1570;13070;8200;169;0;16;8;2;0;0;0
KR_7395735530;MonkeyKing;0;0;4;1;16;14195;11297;1635;1262;150857;83815;12309;54731;0;8916;9890;24833;16154;7647;1031;16935;9083;13;113;19;3;5;1;0;0
KR_7395735530;Aurora;0;0;2;1;7;19665;1564;16817;1282;138012;16455;115924;5632;6815;7288;2923;19196;12149;5845;1200;7787;9400;201;4;28;8;3;6;2;0
KR_7395735530;Kaisa;0;0;0;1;0;8168;5323;2773;72;83411;70280;8758;4372;900;4047;1761;15716;10736;4321;657;6993;7550;167;4;20;7;5;1;0;0
KR_7395735530;Rell;0;0;0;0;21;3769;885;2441;442;14731;4722;6775;3234;0;2121;1597;17410;11649;5187;573;18606;5225;26;0;67;37;7;9;0;0
KR_7395695341;Ezreal;1;0;6;2;0;16123;12286;3837;0;96484;89115;7140;228;3542;3542;2004;11050;7549;3058;442;5112;9308;178;0;16;8;1;1;1;0
KR_7395695341;Graves;1;0;5;1;15;12718;11022;607;1088;203528;166053;2362;35113;3992;26021;5673;13415;10039;3118;258;7836;10275;58;124;29;3;10;1;1;0
KR_7395695341;Akali;1;0;3;1;1;15378;1156;13559;663;91847;7643;82835;1368;4034;4034;32;17552;12405;4434;712;8058;9050;147;0;23;8;3;2;2;0
KR_7395695341;Yone;1;0;3;1;20;19726;14057;4145;1523;119480;104054;13902;1523;1056;1056;3926;21963;16837;4536;589;17816;9550;150;12;9;6;0;0;0;0
KR_7395695341;Lulu;1;3338.16357421875;0;1;16;5439;737;4149;552;22021;3215;14377;4428;1052;3334;2987;11410;5670;5226;513;5033;5600;21;0;52;34;2;6;0;0
KR_7395695341;KSante;0;653.914306640625;3;1;31;16070;14240;1605;224;101167;96353;2900;1913;635;635;2633;24827;16625;6950;1252;30565;8125;174;0;17;8;1;3;0;0
KR_7395695341;Karthus;0;0;6;2;10;13364;223;12257;883;199296;6240;144404;48652;370;21683;11786;24823;16895;7303;625;8269;8965;12;142;10;8;0;1;0;0
KR_7395695341;Yasuo;0;0;2;1;15;14805;12257;2228;320;154683;128533;23330;2820;11576;12088;3429;20766;12945;6995;825;17379;11775;208;4;20;7;3;3;3;0
KR_7395695341;Ashe;0;0;0;1;35;10519;9750;449;320;65736;55068;1116;9551;2296;2296;1308;11253;7707;2902;643;4583;6550;123;0;12;6;1;0;1;0
KR_7395695341;Leona;0;443.7033996582031;0;0;31;5435;1368;3219;848;13149;3770;6489;2889;0;0;426;14866;10445;3857;562;11241;4825;31;0;61;29;8;9;0;0
KR_7395597103;Ryze;1;0;3;2;26;30108;1382;28568;158;229753;13420;213789;2544;9025;15115;5125;27967;16722;10458;786;21272;13150;261;20;36;14;7;4;2;0
KR_7395597103;Briar;1;0;3;1;25;16552;12410;3733;408;256454;178486;23450;54517;3614;45301;49710;44958;28240;15797;920;32017;11975;28;160;38;9;11;5;3;0
KR_7395597103;Orianna;1;3016.565185546875;2;1;15;17618;1784;15664;170;144611;14819;128675;1116;5894;8471;1881;14866;9320;5442;103;9072;9675;221;3;21;11;5;7;2;1
KR_7395597103;Zeri;1;0;5;2;10;20782;12657;7141;983;233854;153093;55367;25395;8031;21864;5894;20041;12039;7410;591;13357;13400;278;11;27;6;11;0;2;0
KR_7395597103;Rell;1;1235.978271484375;2;1;27;7860;1607;4954;1298;19776;3874;10082;5819;3970;4562;3916;21179;11508;8089;1581;29241;10175;28;4;109;47;14;17;1;0
KR_7395597103;Kennen;0;0;0;1;21;12590;1822;10768;0;96822;19010;74287;3525;1880;4967;1319;18864;6673;11485;706;9670;8290;156;0;29;14;2;4;0;0
KR_7395597103;Zyra;0;0;5;2;55;26081;1612;22629;1839;235833;14833;146933;74065;0;12721;4710;23120;9973;12232;914;11989;12100;38;151;33;11;5;8;0;0
KR_7395597103;Smolder;0;0;2;1;10;29375;23047;4520;1806;188350;158925;15591;13833;3571;6043;8011;29563;10151;18933;478;16963;11900;253;1;31;14;6;4;1;0
KR_7395597103;Caitlyn;0;0;4;1;9;14980;14179;462;338;190886;184838;1189;4859;6303;13862;4679;17593;7701;9214;678;8744;12125;243;12;20;8;6;0;1;0
KR_7395597103;Sona;0;9541.0048828125;0;0;14;6994;1772;5221;0;14196;4542;7688;1964;422;1349;10847;16668;8043;8384;240;7180;6775;28;0;112;59;17;13;1;0
KR_7395518013;Ambessa;0;0;3;2;19;39112;39112;0;0;149894;145184;0;4710;4936;7598;7551;41234;24119;14009;3105;49327;12375;183;4;23;9;6;4;3;0
KR_7395518013;Zyra;0;0;4;1;60;37205;2127;31522;3555;268615;19792;172738;76082;3739;13504;7263;24845;11399;11970;1475;11449;12875;35;192;40;14;11;7;0;0
KR_7395518013;Yone;0;0;3;1;20;22415;15583;4984;1847;147653;126654;16163;4835;3037;8889;6489;33052;13058;17675;2319;24091;11525;189;4;25;14;1;3;1;0
KR_7395518013;Corki;0;0;2;1;0;28424;19241;5399;3783;171694;105560;50397;15736;2643;8910;4082;23029;13217;9037;774;14651;10933;235;0;33;13;8;4;0;0
KR_7395518013;Bard;0;7700.642578125;2;1;78;14558;3777;8036;2743;25363;6563;15099;3700;729;928;7504;28985;14565;12475;1945;23009;8125;30;0;122;63;16;16;1;0
KR_7395518013;Udyr;1;0;2;2;58;21614;4622;16511;480;136274;31893;99196;5184;3555;9946;19430;55685;34829;16170;4685;101924;10525;166;12;15;6;1;1;2;0
KR_7395518013;Graves;1;0;4;2;20;25396;21702;875;2819;409916;326747;4549;78617;9339;47196;14472;32442;20896;10573;972;21588;15087;68;210;46;9;10;6;3;0
KR_7395518013;Aurora;1;0;4;3;20;51079;2687;46226;2165;215068;17406;194083;3578;8944;13215;7071;34525;20250;12109;2165;16266;15300;264;2;27;6;6;4;4;1
KR_7395518013;Jhin;1;0;4;2;25;18174;17656;129;388;189390;184165;3500;1723;3355;16046;4852;21060;13754;6025;1280;12181;14000;255;4;44;21;12;4;0;0
KR_7395518013;Camille;1;0;0;1;22;14230;9841;621;3767;27236;19365;621;7249;0;2439;5595;32710;19116;10767;2826;18602;8475;36;0;115;65;15;3;0;0
KR_7395429788;KSante;0;0;0;1;22;11811;10558;623;629;93146;88129;623;4393;255;255;2304;19031;13935;4502;593;26598;7225;186;0;10;4;2;1;0;0
KR_7395429788;Belveth;0;0;0;1;15;7024;5076;919;1028;105225;73399;3949;27876;0;4584;6325;18886;14171;3945;770;11106;6600;10;86;13;2;2;1;0;0
KR_7395429788;Orianna;0;0;0;1;16;12070;758;11261;50;82389;12346;69992;50;384;384;20;13845;8757;4073;1014;6542;7050;166;0;18;9;3;2;0;0
KR_7395429788;Nautilus;0;677.7869873046875;0;1;38;5150;1372;3194;584;17256;4900;7958;4398;1346;1346;732;16699;11125;4543;1030;17578;5400;23;0;60;33;5;8;0;0
KR_7395429788;Kaisa;0;0;0;1;0;13151;9255;3824;72;96303;85297;10420;586;3294;5270;1097;13398;9743;2382;1272;6115;8125;178;0;18;6;4;1;1;0
KR_7395429788;Gnar;1;0;3;2;30;15981;13502;2478;0;111340;103411;7233;696;3405;6564;1922;14550;11459;2342;749;11695;6358;184;1;10;6;0;1;1;0
KR_7395429788;Viego;1;0;8;3;26;19885;16267;2915;702;211065;129559;7138;74366;6524;47584;23071;30039;20328;9091;620;19575;11025;12;147;23;4;0;17;2;0
KR_7395429788;Ahri;1;0;4;2;10;16215;1973;10709;3532;102246;11744;61589;28911;5905;5905;4034;10954;5498;5300;155;5120;9065;176;0;19;9;3;3;2;0
KR_7395429788;Jhin;1;0;7;2;17;10649;10536;72;41;105281;99499;2067;3714;3578;10678;925;5703;3223;2132;347;2891;8900;178;0;31;9;7;2;0;0
KR_7395429788;Rell;1;0;0;1;23;3639;689;2544;406;14416;3707;5990;4718;559;1128;650;12758;7552;4713;492;16937;5400;26;0;67;30;8;10;0;0
KR_7395358313;Gragas;1;0;2;2;51;18380;1149;17020;210;103830;10940;92643;246;310;310;10127;26436;20752;4060;1623;21492;9100;167;0;13;6;1;3;0;0
KR_7395358313;LeeSin;1;1047.5255126953125;2;2;33;25169;20422;3338;1408;203304;110399;37854;55051;1873;15881;16723;35262;26007;8822;431;33600;10150;12;150;34;15;5;7;1;0
KR_7395358313;Zoe;1;1553.9073486328125;2;2;34;21576;2353;16255;2967;115157;15731;91555;7870;2342;3417;3761;18650;11358;6943;348;9193;9425;162;0;25;4;7;1;0;0
KR_7395358313;Jhin;1;0;6;3;25;22916;22383;481;51;177890;164734;9332;3824;2579;7150;4792;17634;14465;2881;286;11171;12050;219;14;13;6;4;0;1;0
KR_7395358313;Rakan;1;5204.54931640625;0;1;38;6836;1580;4763;492;15155;4730;7062;3362;1280;2015;5690;19503;13137;5736;629;19741;6150;23;0;108;59;10;8;0;0
KR_7395358313;Ambessa;0;0;6;2;15;30879;28081;881;1917;145437;139685;881;4870;6165;6165;4138;22568;12038;9466;1062;31553;11675;218;0;36;9;9;5;2;0
KR_7395358313;XinZhao;0;0;3;2;30;23821;21537;1298;985;232438;160008;10594;61836;0;20934;24465;47664;31656;14516;1491;29103;10275;35;162;24;3;4;3;0;0
KR_7395358313;Orianna;0;3135.031494140625;3;2;20;15434;1376;14057;0;92553;9800;80136;2617;597;10221;250;16411;10654;5273;483;8425;8550;133;0;34;11;11;4;0;0
KR_7395358313;Varus;0;0;2;1;42;19629;13363;5870;396;109959;94727;14035;1196;594;5061;3565;19417;11333;7124;960;7887;8925;172;0;19;9;4;1;0;0
KR_7395358313;Braum;0;3589.463134765625;0;1;45;6406;1781;4602;22;12870;3447;7583;1838;0;313;2899;21676;13231;7314;1130;20862;7100;29;0;79;34;15;10;0;0
KR_7395140707;Sion;1;0;3;1;69;29161;17225;11675;260;152040;93735;47708;10596;7824;8946;11164;58048;41733;11397;4917;104112;11850;180;0;39;9;7;4;3;1
KR_7395140707;Viego;1;0;9;2;24;32840;29190;2780;870;300089;198500;17726;83861;6226;50534;32982;58436;39367;16535;2533;47534;15158;28;167;32;2;8;5;2;0
KR_7395140707;Orianna;1;4767.8115234375;5;1;28;28994;2256;26606;132;165699;14462;150211;1026;2954;8312;1207;32744;12649;19251;842;20528;12785;190;12;19;6;2;1;0;0
KR_7395140707;Milio;1;15098.7421875;0;1;20;8547;1178;6011;1357;18185;3116;12427;2641;640;1511;12216;20932;10796;9478;658;9538;9095;39;0;129;45;24;13;1;0
KR_7395140707;Caitlyn;1;0;4;2;19;45256;42796;1928;531;291886;282950;4627;4308;8268;17102;7152;31485;20409;9925;1149;18080;15300;283;32;39;13;8;2;3;0
KR_7395140707;Ambessa;0;0;2;1;27;34221;33525;0;696;163368;161650;0;1718;3783;3783;6307;45756;33980;10855;921;54047;11750;176;12;33;15;2;4;2;0
KR_7395140707;Pantheon;0;0;3;1;32;19713;17273;978;1461;292133;220225;2963;68944;262;20583;15675;42438;30109;11404;924;36974;12200;42;172;48;8;10;9;0;0
KR_7395140707;Azir;0;0;3;1;17;40880;1356;39269;255;223646;8062;215013;570;6555;11310;1834;33899;20270;13341;288;21760;14900;224;21;12;7;3;0;2;0
KR_7395140707;Corki;0;0;12;2;6;54767;35896;12564;6307;245406;138509;80521;26376;7967;18393;6809;23175;17868;5196;110;15269;17093;265;0;21;10;6;0;2;0
KR_7395140707;Blitzcrank;0;1839.0216064453125;0;1;73;14016;2680;10215;1120;25890;4942;15388;5560;138;138;2042;30352;19951;9753;646;35531;9250;33;0;102;55;11;10;0;0
